address,available_bike_stands,available_bikes,banking,bike_stands,bonus,contract_name,last_update,name,number,position,status,scrape_datetime
Grand Canal Dock,23,17,False,40,False,Dublin,2018-03-02 23:23:52,GRAND CANAL DOCK,69,"{'lat': 53.342638, 'lng': -6.238695}",CLOSED,02-03-2018 23:27:02
Merrion Square East,24,5,False,30,False,Dublin,2018-03-02 23:20:38,MERRION SQUARE EAST,25,"{'lat': 53.339434, 'lng': -6.246548}",CLOSED,02-03-2018 23:27:02
York Street West,38,2,False,40,False,Dublin,2018-03-02 23:23:02,YORK STREET WEST,51,"{'lat': 53.339334, 'lng': -6.264699}",CLOSED,02-03-2018 23:27:02
St. Stephen's Green South,21,9,True,30,False,Dublin,2018-03-02 23:16:50,ST. STEPHEN'S GREEN SOUTH,37,"{'lat': 53.337494, 'lng': -6.26199}",CLOSED,02-03-2018 23:27:02
Denmark Street Great,18,2,False,20,False,Dublin,2018-03-02 23:20:35,DENMARK STREET GREAT,59,"{'lat': 53.35561, 'lng': -6.261397}",CLOSED,02-03-2018 23:27:02
Royal Hospital,23,17,True,40,False,Dublin,2018-03-02 23:17:52,ROYAL HOSPITAL,95,"{'lat': 53.343897, 'lng': -6.29706}",CLOSED,02-03-2018 23:27:02
Heuston Station (Car Park),21,19,False,40,False,Dublin,2018-03-02 23:26:00,HEUSTON STATION (CAR PARK),94,"{'lat': 53.346985, 'lng': -6.297804}",CLOSED,02-03-2018 23:27:02
St. Stephen's Green East,33,7,True,40,False,Dublin,2018-03-02 23:23:40,ST. STEPHEN'S GREEN EAST,36,"{'lat': 53.337824, 'lng': -6.256035}",CLOSED,02-03-2018 23:27:02
Heuston Station (Central),0,40,False,40,False,Dublin,2018-03-02 23:17:44,HEUSTON STATION (CENTRAL),93,"{'lat': 53.346603, 'lng': -6.296924}",CLOSED,02-03-2018 23:27:02
Townsend Street,8,12,False,20,False,Dublin,2018-03-02 23:24:29,TOWNSEND STREET,22,"{'lat': 53.345922, 'lng': -6.254614}",CLOSED,02-03-2018 23:27:02
